"curr_date","ord_date","seller_np","null_fulfilment_id","null_net_tran_id","null_qty","null_itm_fulfilment_id","null_del_pc","null_created_date_time","null_domain","null_del_cty","null_cans_code","null_cans_dt_time","null_ord_stats","null_fulfil_status","null_itm_cat","null_cat_cons","null_sell_pincode","null_prov_id","null_itm_id","null_sell_np","null_net_ord_id","null_sell_cty","total_orders","total_canceled_orders"
2024-04-12,2024-04-04,ondc.xpressbaazaar.com,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,4
2024-04-12,2024-04-07,ondc.rajnigandha.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-12,2024-04-11,ondc.xpressbaazaar.com,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2024-04-12,2024-04-08,prod-boat-bpp.shopalyst.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2024-04-12,2024-04-02,prod-ondc.dlyb.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,8
2024-04-12,2024-04-04,ondc.kiko.live/ondc-seller,0,0,0,0,0,0,0,344,0,0,0,0,345,345,345,0,0,0,0,345,345,38
2024-04-12,2024-04-02,prod-myfitness-bpp.shopalyst.com,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,49,1
2024-04-12,2024-04-10,prod.growthfalcons.com/v1/gf,0,0,0,0,0,0,0,39,0,0,0,0,1,1,0,0,0,0,0,0,52,14
2024-04-12,2024-04-03,prod-wellify-bpp.shopalyst.com,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2024-04-12,2024-04-11,ondc.chattybao.com/ondc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2024-04-12,2024-04-08,api.kiko.live/ondc-seller,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,40,1936,3
2024-04-12,2024-04-03,biz.ondc.rebelfoods.com,0,0,0,0,0,0,0,200,0,0,0,0,36,36,0,0,0,0,0,0,390,39
2024-04-12,2024-04-01,ondc-otipy.crofarm.com,0,0,0,0,0,0,0,14,16,0,0,0,0,790,0,0,0,0,0,0,2068,69
2024-04-12,2024-04-10,sellerappapi.ninjacart.in,0,0,0,0,0,0,0,236,0,0,0,0,4,4,3,0,0,0,0,3,343,14
